"";"featurecode";"featurename";"areatypename"
"1578";"S08000026";"Shetland";"Health Board Areas"
"1579";"S08000019";"Forth Valley";"Health Board Areas"
"1580";"S08000024";"Lothian";"Health Board Areas"
"1581";"S08000019";"Forth Valley";"Health Board Areas"
"1582";"S08000024";"Lothian";"Health Board Areas"
"1583";"S08000019";"Forth Valley";"Health Board Areas"
"1584";"S08000025";"Orkney";"Health Board Areas"
"1585";"S08000022";"Highland";"Health Board Areas"
"1586";"S08000022";"Highland";"Health Board Areas"
"1587";"S08000022";"Highland";"Health Board Areas"
"1588";"S08000026";"Shetland";"Health Board Areas"
"1589";"S08000024";"Lothian";"Health Board Areas"
"1590";"S08000028";"Western Isles";"Health Board Areas"
"1591";"S08000026";"Shetland";"Health Board Areas"
"1592";"S08000026";"Shetland";"Health Board Areas"
"1593";"S08000025";"Orkney";"Health Board Areas"
"1594";"S08000022";"Highland";"Health Board Areas"
"1595";"S08000019";"Forth Valley";"Health Board Areas"
"1596";"S08000024";"Lothian";"Health Board Areas"
"1597";"S08000022";"Highland";"Health Board Areas"
"1598";"S08000020";"Grampian";"Health Board Areas"
"1599";"S08000020";"Grampian";"Health Board Areas"
"1600";"S08000020";"Grampian";"Health Board Areas"
"1601";"S08000022";"Highland";"Health Board Areas"
"1602";"S08000020";"Grampian";"Health Board Areas"
"1603";"S08000022";"Highland";"Health Board Areas"
"1604";"S08000022";"Highland";"Health Board Areas"
"1605";"S08000020";"Grampian";"Health Board Areas"
"1606";"S08000022";"Highland";"Health Board Areas"
"1607";"S08000020";"Grampian";"Health Board Areas"
"1608";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1609";"S08000016";"Borders";"Health Board Areas"
"1610";"S08000020";"Grampian";"Health Board Areas"
"1611";"S08000020";"Grampian";"Health Board Areas"
"1612";"S08000019";"Forth Valley";"Health Board Areas"
"1613";"S08000020";"Grampian";"Health Board Areas"
"1614";"S08000020";"Grampian";"Health Board Areas"
"1615";"S08000024";"Lothian";"Health Board Areas"
"1616";"S08000024";"Lothian";"Health Board Areas"
"1617";"S08000024";"Lothian";"Health Board Areas"
"1618";"S08000022";"Highland";"Health Board Areas"
"1619";"S08000025";"Orkney";"Health Board Areas"
"1620";"S08000025";"Orkney";"Health Board Areas"
"1621";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1622";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1623";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1624";"S08000026";"Shetland";"Health Board Areas"
"1625";"S08000025";"Orkney";"Health Board Areas"
"1626";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1627";"S08000029";"Fife";"Health Board Areas"
"1628";"S08000028";"Western Isles";"Health Board Areas"
"1629";"S08000025";"Orkney";"Health Board Areas"
"1630";"S08000025";"Orkney";"Health Board Areas"
"1631";"S08000028";"Western Isles";"Health Board Areas"
"1632";"S08000022";"Highland";"Health Board Areas"
"1633";"S08000028";"Western Isles";"Health Board Areas"
"1634";"S08000022";"Highland";"Health Board Areas"
"1635";"S08000029";"Fife";"Health Board Areas"
"1636";"S08000025";"Orkney";"Health Board Areas"
"1637";"S08000029";"Fife";"Health Board Areas"
"1638";"S08000029";"Fife";"Health Board Areas"
"1639";"S08000029";"Fife";"Health Board Areas"
"1640";"S08000029";"Fife";"Health Board Areas"
"1641";"S08000025";"Orkney";"Health Board Areas"
"1642";"S08000024";"Lothian";"Health Board Areas"
"1643";"S08000025";"Orkney";"Health Board Areas"
"1644";"S08000030";"Tayside";"Health Board Areas"
"1645";"S08000026";"Shetland";"Health Board Areas"
"1646";"S08000028";"Western Isles";"Health Board Areas"
"1647";"S08000025";"Orkney";"Health Board Areas"
"1648";"S08000025";"Orkney";"Health Board Areas"
"1649";"S08000025";"Orkney";"Health Board Areas"
"1650";"S08000025";"Orkney";"Health Board Areas"
"1651";"S08000024";"Lothian";"Health Board Areas"
"1652";"S08000028";"Western Isles";"Health Board Areas"
"1653";"S08000025";"Orkney";"Health Board Areas"
"1654";"S08000025";"Orkney";"Health Board Areas"
"1655";"S08000025";"Orkney";"Health Board Areas"
"1656";"S08000025";"Orkney";"Health Board Areas"
"1657";"S08000025";"Orkney";"Health Board Areas"
"1658";"S08000026";"Shetland";"Health Board Areas"
"1659";"S08000025";"Orkney";"Health Board Areas"
"1660";"S08000025";"Orkney";"Health Board Areas"
"1661";"S08000026";"Shetland";"Health Board Areas"
"1662";"S08000026";"Shetland";"Health Board Areas"
"1663";"S08000026";"Shetland";"Health Board Areas"
"1664";"S08000028";"Western Isles";"Health Board Areas"
"1665";"S08000026";"Shetland";"Health Board Areas"
"1666";"S08000028";"Western Isles";"Health Board Areas"
"1667";"S08000029";"Fife";"Health Board Areas"
"1668";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1669";"S08000024";"Lothian";"Health Board Areas"
"1670";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1671";"S08000026";"Shetland";"Health Board Areas"
"1672";"S08000026";"Shetland";"Health Board Areas"
"1673";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1674";"S08000022";"Highland";"Health Board Areas"
"1675";"S08000024";"Lothian";"Health Board Areas"
"1676";"S08000029";"Fife";"Health Board Areas"
"1677";"S08000029";"Fife";"Health Board Areas"
"1678";"S08000024";"Lothian";"Health Board Areas"
"1679";"S08000029";"Fife";"Health Board Areas"
"1680";"S08000024";"Lothian";"Health Board Areas"
"1681";"S08000024";"Lothian";"Health Board Areas"
"1682";"S08000024";"Lothian";"Health Board Areas"
"1683";"S08000029";"Fife";"Health Board Areas"
"1684";"S08000024";"Lothian";"Health Board Areas"
"1685";"S08000022";"Highland";"Health Board Areas"
"1686";"S08000022";"Highland";"Health Board Areas"
"1687";"S08000022";"Highland";"Health Board Areas"
"1688";"S08000019";"Forth Valley";"Health Board Areas"
"1689";"S08000019";"Forth Valley";"Health Board Areas"
"1690";"S08000019";"Forth Valley";"Health Board Areas"
"1691";"S08000019";"Forth Valley";"Health Board Areas"
"1692";"S08000020";"Grampian";"Health Board Areas"
"1693";"S08000025";"Orkney";"Health Board Areas"
"1694";"S08000029";"Fife";"Health Board Areas"
"1695";"S08000024";"Lothian";"Health Board Areas"
"1696";"S08000025";"Orkney";"Health Board Areas"
"1697";"S08000029";"Fife";"Health Board Areas"
"1698";"S08000019";"Forth Valley";"Health Board Areas"
"1699";"S08000030";"Tayside";"Health Board Areas"
"1700";"S08000030";"Tayside";"Health Board Areas"
"1701";"S08000024";"Lothian";"Health Board Areas"
"1702";"S08000024";"Lothian";"Health Board Areas"
"1703";"S08000028";"Western Isles";"Health Board Areas"
"1704";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1705";"S08000024";"Lothian";"Health Board Areas"
"1706";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1707";"S08000024";"Lothian";"Health Board Areas"
"1708";"S08000029";"Fife";"Health Board Areas"
"1709";"S08000022";"Highland";"Health Board Areas"
"1710";"S08000029";"Fife";"Health Board Areas"
"1711";"S08000029";"Fife";"Health Board Areas"
"1712";"S08000030";"Tayside";"Health Board Areas"
"1713";"S08000030";"Tayside";"Health Board Areas"
"1714";"S08000029";"Fife";"Health Board Areas"
"1715";"S08000024";"Lothian";"Health Board Areas"
"1716";"S08000024";"Lothian";"Health Board Areas"
"1717";"S08000024";"Lothian";"Health Board Areas"
"1718";"S08000024";"Lothian";"Health Board Areas"
"1719";"S08000029";"Fife";"Health Board Areas"
"1720";"S08000024";"Lothian";"Health Board Areas"
"1721";"S08000024";"Lothian";"Health Board Areas"
"1722";"S08000030";"Tayside";"Health Board Areas"
"1723";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1724";"S08000029";"Fife";"Health Board Areas"
"1725";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1726";"S08000024";"Lothian";"Health Board Areas"
"1727";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1728";"S92000003";"Scotland";"Country"
"1729";"S92000003";"Scotland";"Country"
"1730";"S92000003";"Scotland";"Country"
"1731";"S92000003";"Scotland";"Country"
"1732";"S92000003";"Scotland";"Country"
"1733";"S92000003";"Scotland";"Country"
"1734";"S92000003";"Scotland";"Country"
"1735";"S92000003";"Scotland";"Country"
"1736";"S92000003";"Scotland";"Country"
"1737";"S92000003";"Scotland";"Country"
"1738";"S92000003";"Scotland";"Country"
"1739";"S92000003";"Scotland";"Country"
"1740";"S92000003";"Scotland";"Country"
"1741";"S92000003";"Scotland";"Country"
"1742";"S92000003";"Scotland";"Country"
"1743";"S92000003";"Scotland";"Country"
"1744";"S92000003";"Scotland";"Country"
"1745";"S92000003";"Scotland";"Country"
"1746";"S92000003";"Scotland";"Country"
"1747";"S92000003";"Scotland";"Country"
"1748";"S92000003";"Scotland";"Country"
"1749";"S92000003";"Scotland";"Country"
"1750";"S92000003";"Scotland";"Country"
"1751";"S92000003";"Scotland";"Country"
"1752";"S92000003";"Scotland";"Country"
"1753";"S92000003";"Scotland";"Country"
"1754";"S92000003";"Scotland";"Country"
"1755";"S92000003";"Scotland";"Country"
"1756";"S92000003";"Scotland";"Country"
"1757";"S92000003";"Scotland";"Country"
"1758";"S92000003";"Scotland";"Country"
"1759";"S92000003";"Scotland";"Country"
"1760";"S92000003";"Scotland";"Country"
"1761";"S92000003";"Scotland";"Country"
"1762";"S92000003";"Scotland";"Country"
"1763";"S92000003";"Scotland";"Country"
"1764";"S92000003";"Scotland";"Country"
"1765";"S92000003";"Scotland";"Country"
"1766";"S92000003";"Scotland";"Country"
"1767";"S92000003";"Scotland";"Country"
"1768";"S92000003";"Scotland";"Country"
"1769";"S92000003";"Scotland";"Country"
"1770";"S92000003";"Scotland";"Country"
"1771";"S92000003";"Scotland";"Country"
"1772";"S92000003";"Scotland";"Country"
"1773";"S92000003";"Scotland";"Country"
"1774";"S92000003";"Scotland";"Country"
"1775";"S92000003";"Scotland";"Country"
"1776";"S92000003";"Scotland";"Country"
"1777";"S92000003";"Scotland";"Country"
"1778";"S92000003";"Scotland";"Country"
"1779";"S92000003";"Scotland";"Country"
"1780";"S92000003";"Scotland";"Country"
"1781";"S92000003";"Scotland";"Country"
"1782";"S92000003";"Scotland";"Country"
"1783";"S92000003";"Scotland";"Country"
"1784";"S92000003";"Scotland";"Country"
"1785";"S92000003";"Scotland";"Country"
"1786";"S92000003";"Scotland";"Country"
"1787";"S92000003";"Scotland";"Country"
"1788";"S92000003";"Scotland";"Country"
"1789";"S92000003";"Scotland";"Country"
"1790";"S92000003";"Scotland";"Country"
"1791";"S92000003";"Scotland";"Country"
"1792";"S92000003";"Scotland";"Country"
"1793";"S92000003";"Scotland";"Country"
"1794";"S92000003";"Scotland";"Country"
"1795";"S92000003";"Scotland";"Country"
"1796";"S92000003";"Scotland";"Country"
"1797";"S92000003";"Scotland";"Country"
"1798";"S92000003";"Scotland";"Country"
"1799";"S92000003";"Scotland";"Country"
"1800";"S92000003";"Scotland";"Country"
"1801";"S92000003";"Scotland";"Country"
"1802";"S92000003";"Scotland";"Country"
"1803";"S92000003";"Scotland";"Country"
"1804";"S92000003";"Scotland";"Country"
"1805";"S92000003";"Scotland";"Country"
"1806";"S92000003";"Scotland";"Country"
"1807";"S92000003";"Scotland";"Country"
"1808";"S92000003";"Scotland";"Country"
"1809";"S92000003";"Scotland";"Country"
"1810";"S92000003";"Scotland";"Country"
"1811";"S92000003";"Scotland";"Country"
"1812";"S92000003";"Scotland";"Country"
"1813";"S92000003";"Scotland";"Country"
"1814";"S92000003";"Scotland";"Country"
"1815";"S92000003";"Scotland";"Country"
"1816";"S92000003";"Scotland";"Country"
"1817";"S92000003";"Scotland";"Country"
"1818";"S92000003";"Scotland";"Country"
"1819";"S92000003";"Scotland";"Country"
"1820";"S92000003";"Scotland";"Country"
"1821";"S92000003";"Scotland";"Country"
"1822";"S92000003";"Scotland";"Country"
"1823";"S92000003";"Scotland";"Country"
"1824";"S92000003";"Scotland";"Country"
"1825";"S92000003";"Scotland";"Country"
"1826";"S92000003";"Scotland";"Country"
"1827";"S92000003";"Scotland";"Country"
"1828";"S92000003";"Scotland";"Country"
"1829";"S92000003";"Scotland";"Country"
"1830";"S92000003";"Scotland";"Country"
"1831";"S92000003";"Scotland";"Country"
"1832";"S92000003";"Scotland";"Country"
"1833";"S92000003";"Scotland";"Country"
"1834";"S92000003";"Scotland";"Country"
"1835";"S92000003";"Scotland";"Country"
"1836";"S92000003";"Scotland";"Country"
"1837";"S08000019";"Forth Valley";"Health Board Areas"
"1838";"S08000020";"Grampian";"Health Board Areas"
"1839";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1840";"S08000020";"Grampian";"Health Board Areas"
"1841";"S08000020";"Grampian";"Health Board Areas"
"1842";"S08000016";"Borders";"Health Board Areas"
"1843";"S08000020";"Grampian";"Health Board Areas"
"1844";"S08000020";"Grampian";"Health Board Areas"
"1845";"S08000022";"Highland";"Health Board Areas"
"1846";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1847";"S08000022";"Highland";"Health Board Areas"
"1848";"S08000020";"Grampian";"Health Board Areas"
"1849";"S08000020";"Grampian";"Health Board Areas"
"1850";"S08000022";"Highland";"Health Board Areas"
"1851";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1852";"S08000022";"Highland";"Health Board Areas"
"1853";"S08000022";"Highland";"Health Board Areas"
"1854";"S08000022";"Highland";"Health Board Areas"
"1855";"S08000019";"Forth Valley";"Health Board Areas"
"1856";"S08000019";"Forth Valley";"Health Board Areas"
"1857";"S08000022";"Highland";"Health Board Areas"
"1858";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1859";"S08000022";"Highland";"Health Board Areas"
"1860";"S08000019";"Forth Valley";"Health Board Areas"
"1861";"S08000019";"Forth Valley";"Health Board Areas"
"1862";"S08000022";"Highland";"Health Board Areas"
"1863";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1864";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1865";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1866";"S08000026";"Shetland";"Health Board Areas"
"1867";"S08000030";"Tayside";"Health Board Areas"
"1868";"S08000026";"Shetland";"Health Board Areas"
"1869";"S08000026";"Shetland";"Health Board Areas"
"1870";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1871";"S08000026";"Shetland";"Health Board Areas"
"1872";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1873";"S08000024";"Lothian";"Health Board Areas"
"1874";"S08000022";"Highland";"Health Board Areas"
"1875";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1876";"S08000026";"Shetland";"Health Board Areas"
"1877";"S08000024";"Lothian";"Health Board Areas"
"1878";"S08000030";"Tayside";"Health Board Areas"
"1879";"S08000030";"Tayside";"Health Board Areas"
"1880";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1881";"S08000026";"Shetland";"Health Board Areas"
"1882";"S08000020";"Grampian";"Health Board Areas"
"1883";"S08000022";"Highland";"Health Board Areas"
"1884";"S08000020";"Grampian";"Health Board Areas"
"1885";"S08000026";"Shetland";"Health Board Areas"
"1886";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1887";"S08000026";"Shetland";"Health Board Areas"
"1888";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1889";"S08000026";"Shetland";"Health Board Areas"
"1890";"S08000022";"Highland";"Health Board Areas"
"1891";"S92000003";"Scotland";"Country"
"1892";"S92000003";"Scotland";"Country"
"1893";"S92000003";"Scotland";"Country"
"1894";"S92000003";"Scotland";"Country"
"1895";"S92000003";"Scotland";"Country"
"1896";"S92000003";"Scotland";"Country"
"1897";"S92000003";"Scotland";"Country"
"1898";"S92000003";"Scotland";"Country"
"1899";"S92000003";"Scotland";"Country"
"1900";"S92000003";"Scotland";"Country"
"1901";"S92000003";"Scotland";"Country"
"1902";"S92000003";"Scotland";"Country"
"1903";"S92000003";"Scotland";"Country"
"1904";"S92000003";"Scotland";"Country"
"1905";"S92000003";"Scotland";"Country"
"1906";"S92000003";"Scotland";"Country"
"1907";"S92000003";"Scotland";"Country"
"1908";"S92000003";"Scotland";"Country"
"1909";"S92000003";"Scotland";"Country"
"1910";"S92000003";"Scotland";"Country"
"1911";"S92000003";"Scotland";"Country"
"1912";"S92000003";"Scotland";"Country"
"1913";"S92000003";"Scotland";"Country"
"1914";"S92000003";"Scotland";"Country"
"1915";"S92000003";"Scotland";"Country"
"1916";"S92000003";"Scotland";"Country"
"1917";"S92000003";"Scotland";"Country"
"1918";"S08000019";"Forth Valley";"Health Board Areas"
"1919";"S08000020";"Grampian";"Health Board Areas"
"1920";"S08000019";"Forth Valley";"Health Board Areas"
"1921";"S08000019";"Forth Valley";"Health Board Areas"
"1922";"S08000022";"Highland";"Health Board Areas"
"1923";"S08000022";"Highland";"Health Board Areas"
"1924";"S08000019";"Forth Valley";"Health Board Areas"
"1925";"S08000020";"Grampian";"Health Board Areas"
"1926";"S08000020";"Grampian";"Health Board Areas"
"1927";"S08000019";"Forth Valley";"Health Board Areas"
"1928";"S08000026";"Shetland";"Health Board Areas"
"1929";"S08000020";"Grampian";"Health Board Areas"
"1930";"S08000020";"Grampian";"Health Board Areas"
"1931";"S08000020";"Grampian";"Health Board Areas"
"1932";"S08000020";"Grampian";"Health Board Areas"
"1933";"S92000003";"Scotland";"Country"
"1934";"S08000020";"Grampian";"Health Board Areas"
"1935";"S08000020";"Grampian";"Health Board Areas"
"1936";"S92000003";"Scotland";"Country"
"1937";"S92000003";"Scotland";"Country"
"1938";"S92000003";"Scotland";"Country"
"1939";"S08000022";"Highland";"Health Board Areas"
"1940";"S08000020";"Grampian";"Health Board Areas"
"1941";"S08000020";"Grampian";"Health Board Areas"
"1942";"S08000026";"Shetland";"Health Board Areas"
"1943";"S08000019";"Forth Valley";"Health Board Areas"
"1944";"S08000020";"Grampian";"Health Board Areas"
"1945";"S08000016";"Borders";"Health Board Areas"
"1946";"S08000016";"Borders";"Health Board Areas"
"1947";"S08000016";"Borders";"Health Board Areas"
"1948";"S08000016";"Borders";"Health Board Areas"
"1949";"S92000003";"Scotland";"Country"
"1950";"S92000003";"Scotland";"Country"
"1951";"S92000003";"Scotland";"Country"
"1952";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1953";"S08000016";"Borders";"Health Board Areas"
"1954";"S08000016";"Borders";"Health Board Areas"
"1955";"S08000016";"Borders";"Health Board Areas"
"1956";"S08000016";"Borders";"Health Board Areas"
"1957";"S08000016";"Borders";"Health Board Areas"
"1958";"S92000003";"Scotland";"Country"
"1959";"S92000003";"Scotland";"Country"
"1960";"S92000003";"Scotland";"Country"
"1961";"S92000003";"Scotland";"Country"
"1962";"S92000003";"Scotland";"Country"
"1963";"S92000003";"Scotland";"Country"
"1964";"S92000003";"Scotland";"Country"
"1965";"S92000003";"Scotland";"Country"
"1966";"S92000003";"Scotland";"Country"
"1967";"S92000003";"Scotland";"Country"
"1968";"S92000003";"Scotland";"Country"
"1969";"S92000003";"Scotland";"Country"
"1970";"S92000003";"Scotland";"Country"
"1971";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1972";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1973";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1974";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1975";"S08000016";"Borders";"Health Board Areas"
"1976";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1977";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1978";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1979";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1980";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1981";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1982";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1983";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1984";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1985";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1986";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"1987";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1988";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1989";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1990";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1991";"S08000016";"Borders";"Health Board Areas"
"1992";"S08000016";"Borders";"Health Board Areas"
"1993";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1994";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1995";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1996";"S08000016";"Borders";"Health Board Areas"
"1997";"S92000003";"Scotland";"Country"
"1998";"S92000003";"Scotland";"Country"
"1999";"S92000003";"Scotland";"Country"
"2000";"S92000003";"Scotland";"Country"
"2001";"S92000003";"Scotland";"Country"
"2002";"S92000003";"Scotland";"Country"
"2003";"S92000003";"Scotland";"Country"
"2004";"S92000003";"Scotland";"Country"
"2005";"S92000003";"Scotland";"Country"
"2006";"S92000003";"Scotland";"Country"
"2007";"S92000003";"Scotland";"Country"
"2008";"S92000003";"Scotland";"Country"
"2009";"S92000003";"Scotland";"Country"
"2010";"S92000003";"Scotland";"Country"
"2011";"S92000003";"Scotland";"Country"
"2012";"S92000003";"Scotland";"Country"
"2013";"S92000003";"Scotland";"Country"
"2014";"S92000003";"Scotland";"Country"
"2015";"S92000003";"Scotland";"Country"
"2016";"S92000003";"Scotland";"Country"
"2017";"S92000003";"Scotland";"Country"
"2018";"S92000003";"Scotland";"Country"
"2019";"S92000003";"Scotland";"Country"
"2020";"S92000003";"Scotland";"Country"
"2021";"S92000003";"Scotland";"Country"
"2022";"S92000003";"Scotland";"Country"
"2023";"S92000003";"Scotland";"Country"
"2024";"S92000003";"Scotland";"Country"
"2025";"S92000003";"Scotland";"Country"
"2026";"S92000003";"Scotland";"Country"
"2027";"S92000003";"Scotland";"Country"
"2028";"S92000003";"Scotland";"Country"
"2029";"S92000003";"Scotland";"Country"
"2030";"S92000003";"Scotland";"Country"
"2031";"S92000003";"Scotland";"Country"
"2032";"S92000003";"Scotland";"Country"
"2033";"S92000003";"Scotland";"Country"
"2034";"S92000003";"Scotland";"Country"
"2035";"S92000003";"Scotland";"Country"
"2036";"S92000003";"Scotland";"Country"
"2037";"S92000003";"Scotland";"Country"
"2038";"S92000003";"Scotland";"Country"
"2039";"S92000003";"Scotland";"Country"
"2040";"S92000003";"Scotland";"Country"
"2041";"S92000003";"Scotland";"Country"
"2042";"S92000003";"Scotland";"Country"
"2043";"S92000003";"Scotland";"Country"
"2044";"S92000003";"Scotland";"Country"
"2045";"S92000003";"Scotland";"Country"
"2046";"S92000003";"Scotland";"Country"
"2047";"S92000003";"Scotland";"Country"
"2048";"S92000003";"Scotland";"Country"
"2049";"S08000030";"Tayside";"Health Board Areas"
"2050";"S08000029";"Fife";"Health Board Areas"
"2051";"S08000030";"Tayside";"Health Board Areas"
"2052";"S08000025";"Orkney";"Health Board Areas"
"2053";"S08000030";"Tayside";"Health Board Areas"
"2054";"S08000030";"Tayside";"Health Board Areas"
"2055";"S08000030";"Tayside";"Health Board Areas"
"2056";"S08000030";"Tayside";"Health Board Areas"
"2057";"S08000030";"Tayside";"Health Board Areas"
"2058";"S08000030";"Tayside";"Health Board Areas"
"2059";"S08000030";"Tayside";"Health Board Areas"
"2060";"S08000030";"Tayside";"Health Board Areas"
"2061";"S08000030";"Tayside";"Health Board Areas"
"2062";"S08000016";"Borders";"Health Board Areas"
"2063";"S08000016";"Borders";"Health Board Areas"
"2064";"S08000032";"Lanarkshire";"Health Board Areas"
"2065";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2066";"S08000016";"Borders";"Health Board Areas"
"2067";"S08000032";"Lanarkshire";"Health Board Areas"
"2068";"S08000020";"Grampian";"Health Board Areas"
"2069";"S08000030";"Tayside";"Health Board Areas"
"2070";"S08000030";"Tayside";"Health Board Areas"
"2071";"S08000030";"Tayside";"Health Board Areas"
"2072";"S08000032";"Lanarkshire";"Health Board Areas"
"2073";"S08000019";"Forth Valley";"Health Board Areas"
"2074";"S08000032";"Lanarkshire";"Health Board Areas"
"2075";"S08000032";"Lanarkshire";"Health Board Areas"
"2076";"S08000029";"Fife";"Health Board Areas"
"2077";"S08000029";"Fife";"Health Board Areas"
"2078";"S08000029";"Fife";"Health Board Areas"
"2079";"S08000029";"Fife";"Health Board Areas"
"2080";"S08000029";"Fife";"Health Board Areas"
"2081";"S08000028";"Western Isles";"Health Board Areas"
"2082";"S08000030";"Tayside";"Health Board Areas"
"2083";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"2084";"S08000032";"Lanarkshire";"Health Board Areas"
"2085";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"2086";"S08000029";"Fife";"Health Board Areas"
"2087";"S08000031";"Greater Glasgow and Clyde";"Health Board Areas"
"2088";"S08000030";"Tayside";"Health Board Areas"
"2089";"S08000030";"Tayside";"Health Board Areas"
"2090";"S08000030";"Tayside";"Health Board Areas"
"2091";"S08000030";"Tayside";"Health Board Areas"
"2092";"S08000029";"Fife";"Health Board Areas"
"2093";"S08000030";"Tayside";"Health Board Areas"
"2094";"S08000030";"Tayside";"Health Board Areas"
"2095";"S08000029";"Fife";"Health Board Areas"
"2096";"S08000029";"Fife";"Health Board Areas"
"2097";"S08000029";"Fife";"Health Board Areas"
"2098";"S08000030";"Tayside";"Health Board Areas"
"2099";"S08000030";"Tayside";"Health Board Areas"
"2100";"S08000029";"Fife";"Health Board Areas"
"2101";"S08000032";"Lanarkshire";"Health Board Areas"
"2102";"S08000032";"Lanarkshire";"Health Board Areas"
"2103";"S08000032";"Lanarkshire";"Health Board Areas"
"2104";"S08000032";"Lanarkshire";"Health Board Areas"
"2105";"S08000032";"Lanarkshire";"Health Board Areas"
"2106";"S08000032";"Lanarkshire";"Health Board Areas"
"2107";"S08000032";"Lanarkshire";"Health Board Areas"
"2108";"S08000016";"Borders";"Health Board Areas"
"2109";"S08000016";"Borders";"Health Board Areas"
"2110";"S08000016";"Borders";"Health Board Areas"
"2111";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2112";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2113";"S08000020";"Grampian";"Health Board Areas"
"2114";"S08000016";"Borders";"Health Board Areas"
"2115";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2116";"S08000016";"Borders";"Health Board Areas"
"2117";"S08000016";"Borders";"Health Board Areas"
"2118";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2119";"S08000016";"Borders";"Health Board Areas"
"2120";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2121";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2122";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2123";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2124";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2125";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2126";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2127";"S08000016";"Borders";"Health Board Areas"
"2128";"S08000016";"Borders";"Health Board Areas"
"2129";"S08000016";"Borders";"Health Board Areas"
"2130";"S08000016";"Borders";"Health Board Areas"
"2131";"S08000016";"Borders";"Health Board Areas"
"2132";"S08000016";"Borders";"Health Board Areas"
"2133";"S08000019";"Forth Valley";"Health Board Areas"
"2134";"S08000032";"Lanarkshire";"Health Board Areas"
"2135";"S08000016";"Borders";"Health Board Areas"
"2136";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"2137";"S08000015";"Ayrshire and Arran";"Health Board Areas"
